Episode  2070 | Won: False | Reward: -520.0 | Epsilon: 0.7240
Episode  2080 | Won: False | Reward: -510.0 | Epsilon: 0.7227
Episode  2090 | Won: False | Reward: -510.0 | Epsilon: 0.7213
Episode  2100 | Won: False | Reward: -520.0 | Epsilon: 0.7200
Episode  2110 | Won: False | Reward: -510.0 | Epsilon: 0.7187
Episode  2120 | Won: False | Reward: -508.0 | Epsilon: 0.7173
Episode  2130 | Won: False | Reward: -512.0 | Epsilon: 0.7160
Episode  2140 | Won: False | Reward: -521.0 | Epsilon: 0.7147
Episode  2150 | Won: False | Reward: -508.0 | Epsilon: 0.7133
Episode  2160 | Won: False | Reward: -515.0 | Epsilon: 0.7120
Episode  2170 | Won: False | Reward: -511.0 | Epsilon: 0.7107
Episode  2180 | Won: False | Reward: -512.0 | Epsilon: 0.7093
Episode  2190 | Won: False | Reward: -509.0 | Epsilon: 0.7080
Episode  2200 | Won: False | Reward: -511.0 | Epsilon: 0.7067
Episode  2210 | Won: False | Reward: -508.0 | Epsilon: 0.7053
Episode  2220 | Won: False | Reward: -506.0 | Epsilon: 0.7040
Episode  2230 | Won: False | Reward: -510.0 | Epsilon: 0.7027
Episode  2240 | Won: False | Reward: -513.0 | Epsilon: 0.7013
Episode  2250 | Won: False | Reward: -508.0 | Epsilon: 0.7000
Episode  2260 | Won: False | Reward: -513.0 | Epsilon: 0.6987
Episode  2270 | Won: False | Reward: -513.0 | Epsilon: 0.6973
Episode  2280 | Won: False | Reward: -516.0 | Epsilon: 0.6960
Episode  2290 | Won: False | Reward: -516.0 | Epsilon: 0.6947
Episode  2300 | Won: False | Reward: -507.0 | Epsilon: 0.6933
Episode  2310 | Won: False | Reward: -505.0 | Epsilon: 0.6920
Episode  2320 | Won: False | Reward: -505.0 | Epsilon: 0.6907
Episode  2330 | Won: False | Reward: -509.0 | Epsilon: 0.6893
Episode  2340 | Won: False | Reward: -505.0 | Epsilon: 0.6880
Episode  2350 | Won: False | Reward: -519.0 | Epsilon: 0.6867
Episode  2360 | Won: False | Reward: -517.0 | Epsilon: 0.6853
Episode  2370 | Won: False | Reward: -513.0 | Epsilon: 0.6840
Episode  2380 | Won: False | Reward: -505.0 | Epsilon: 0.6827
Episode  2390 | Won: False | Reward: -509.0 | Epsilon: 0.6813
Episode  2400 | Won: False | Reward: -524.0 | Epsilon: 0.6800
Episode  2410 | Won: False | Reward: -504.0 | Epsilon: 0.6787
Episode  2420 | Won: False | Reward: -509.0 | Epsilon: 0.6773
Episode  2430 | Won: False | Reward: -512.0 | Epsilon: 0.6760
Episode  2440 | Won: False | Reward: -507.0 | Epsilon: 0.6747
Episode  2450 | Won: False | Reward: -523.0 | Epsilon: 0.6733
Episode  2460 | Won: False | Reward: -505.0 | Epsilon: 0.6720
Episode  2470 | Won: False | Reward: -507.0 | Epsilon: 0.6707
Episode  2480 | Won: False | Reward: -515.0 | Epsilon: 0.6693
Episode  2490 | Won: False | Reward: -511.0 | Epsilon: 0.6680
Episode  2500 | Won: False | Reward: -522.0 | Epsilon: 0.6667
Episode  2510 | Won: False | Reward: -519.0 | Epsilon: 0.6653
Episode  2520 | Won: False | Reward: -507.0 | Epsilon: 0.6640
Episode  2530 | Won: False | Reward: -503.0 | Epsilon: 0.6627
Episode  2540 | Won: False | Reward: -511.0 | Epsilon: 0.6613
Episode  2550 | Won: False | Reward: -511.0 | Epsilon: 0.6600
Episode  2560 | Won: False | Reward: -504.0 | Epsilon: 0.6587
Episode  2570 | Won: False | Reward: -509.0 | Epsilon: 0.6573
Episode  2580 | Won: False | Reward: -507.0 | Epsilon: 0.6560
Episode  2590 | Won: False | Reward: -506.0 | Epsilon: 0.6547
Episode  2600 | Won: False | Reward: -505.0 | Epsilon: 0.6533
Episode  2610 | Won: False | Reward: -514.0 | Epsilon: 0.6520
